di;E;una;RI;singola;A;3
la;RD;definizione;S;di;E;3
proprietà;S;di;E;minimalità;S;3
le;RD;chiavi;S;candidate;V;3
limita;V;i;RD;valori;S;3
se;CS;solo;B;se;CS;3
nella;E+RD;relazione;S;infrazioni;S;3
vigile;S;che;PR;esiste;V;3
un;RI;vincolo;S;nuovo;A;3
istanza;S;per;E;istanza;S;3
il;RD;vincolo;S;che;PR;3
chiave;S;esterna;A;e;CC;3
la;RD;chiave;S;esterna;A;3
è;V;chiave;S;esterna;A;3
un;RI;dominio;S;che;PR;3
è;VA;mai;B;nulla;PI;3
molti;PI;di;E;voi;PE;2
la;RD;lezione;S;di;E;2
lezione;S;di;E;oggi;B;2
gestione;S;delle;E+RD;basi;S;2
basi;S;di;E;dati;S;2
base;S;dei;E+RD;dati;S;2
dei;E+RD;dati;S;che;PR;2
che;CS;noi;PE;non;BN;2
ci;PC;occupiamo;V;di;E;2
occupiamo;V;di;E;un;RI;2
su;E;un;RI;singolo;A;2
consente;V;di;E;garantire;V;2
in;E;maniera;S;efficiente;A;2
cui;PR;ci;PC;occuperemo;V;2
è;V;lo;RD;schema;S;2
che;PR;è;V;quello;PD;2
è;V;quello;PD;di;E;2
quello;PD;di;E;cui;PR;2
la;RD;presenza;S;di;E;2
perché;CS;le;RD;applicazioni;S;2
linguaggi;S;per;E;manipolare;V;2
i;RD;dati;S;e;CC;2
per;E;manipolare;V;le;RD;2
le;RD;definizioni;S;quindi;B;2
di;E;cui;PR;parliamo;V;2
per;E;descrivere;V;le;RD;2
descrivere;V;le;RD;operazioni;S;2
operazioni;S;di;E;manipolazione;S;2
che;PR;è;V;un;RI;2
cosa;PQ;sono;V;le;RD;2
base;S;dati;V;cosa;PQ;2
sono;V;le;RD;istanze;S;2
io;PE;ho;V;una;RI;2
così;B;per;E;ora;B;2
di;E;un;RI;oggetto;S;2
un;RI;oggetto;S;che;PR;2
che;PR;vedremo;V;essere;V;2
nome;S;dell;S;`;X;2
dell;S;`;X;oggetto;S;2
nome;S;degli;E+RD;attributi;S;2
vi;PC;ho;VA;fatto;V;2
di;E;una;RI;tabella;S;2
di;E;schemi;S;e;CC;2
istanze;S;di;E;una;RI;2
base;S;dati;V;in;E;2
un;RI;istanza;S;di;E;2
di;E;tutte;T;le;RD;2
tutte;T;le;RD;tabelle;S;2
istanza;S;del;E+RD;dbms;S;2
cosa;PQ;vuol;VM;dire;V;2
non;BN;è;V;che;CS;2
tutte;T;le;RD;righe;S;2
queste;DD;due;N;istanze;S;2
due;N;istanze;S;di;E;2
modello;V;dei;E+RD;dati;S;2
dei;E+RD;dati;S;è;VA;2
è;VA;l'insieme;V;di;E;2
che;PR;qui;B;non;BN;2
qui;B;non;BN;c;S;2
bisogno;S;di;E;qualcosa;PI;2
di;E;qualcosa;PI;per;E;2
vincoli;S;della;E+RD;realtà;S;2
si;PC;usano;V;i;RD;2
il;RD;modello;S;logico;A;2
modello;S;relazionale;A;è;V;2
è;V;quello;PD;più;B;2
modelli;S;basati;V;sulla;E+RD;2
che;PR;ora;B;vedremo;V;2
tenne;V;in;E;relazione;S;2
è;V;un;RI;termine;S;2
vent;A;`;X;anni;S;2
`;X;anni;S;fa;B;2
gli;RD;altri;A;modelli;S;2
